FACTOR,UNITS,2007,2008,2009,2010,2011,2012,2013,2014,2015,Country,Product
Net Export Volume,Thousand tons,14663.00,12667.00,7784.00,9004.00,7943.00,8590.00,10531.00,9936.00,9098.00,China,Cement
Net Export Value,Million USD,582.60,603.50,392.20,457.20,484.40,523.70,609.90,585.50,517.10,China,Cement
Consumption Volume,Thousand tons,27566.00,27452.00,24918.00,24756.00,26766.00,27169.00,26602.00,27677.00,26207.00,Germany,Cement
Consumption Value,Million USD,2198.00,2193.00,2188.00,2059.00,2410.00,2234.00,2295.00,2420.00,1980.00,Germany,Cement
Production Volume,Thousand tons,33382.00,33581.00,30441.00,29894.00,32779.00,32432.00,31308.00,32099.00,31160.00,Germany,Cement
Production Value,Million USD,2644.00,2665.00,2687.00,2483.00,2975.00,2660.00,2709.00,2820.00,2322.00,Germany,Cement
Import Volume,Thousand tons,1144.00,1064.00,1025.00,1046.00,1117.00,1277.00,1344.00,1325.00,1308.00,Germany,Cement
Import Value,Million USD,160.90,173.20,159.60,166.20,184.30,181.10,203.50,208.80,177.20,Germany,Cement
Export Volume,Thousand tons,6961.00,7193.00,6548.00,6184.00,7131.00,6541.00,6050.00,5747.00,6262.00,Germany,Cement
Export Value,Million USD,599.70,750.10,643.70,570.00,709.90,615.50,588.80,558.10,498.00,Germany,Cement
Import Price,USD per Ton,140.60,162.80,155.70,158.80,164.90,141.80,151.40,157.60,135.40,Germany,Cement
Export Price,USD per Ton,86.20,104.30,98.30,92.20,99.60,94.10,97.30,97.10,79.50,Germany,Cement
Per Capita Consumption,Kg per Person,338.90,338.40,307.80,306.00,330.70,335.10,327.40,339.60,320.70,Germany,Cement
Net Export Volume,Thousand tons,5816.00,6129.00,5523.00,5138.00,6014.00,5263.00,4706.00,4422.00,4953.00,Germany,Cement
Net Export Value,Million USD,438.80,576.90,484.00,403.80,525.60,434.30,385.30,349.30,320.80,Germany,Cement
Consumption Volume,Thousand tons,60349.00,58928.00,44046.00,50862.00,58164.00,64461.00,69128.00,71772.00,63262.00,Russia,Cement
Consumption Value,Million USD,5694.00,7027.00,3703.00,4133.00,5168.00,6155.00,6639.00,5875.00,3948.00,Russia,Cement
Production Volume,Thousand tons,59939.00,53548.00,44266.00,50392.00,56153.00,61691.00,66549.00,69139.00,62103.00,Russia,Cement
Production Value,Million USD,61.46,7563.00,3832.00,4142.00,5279.00,6434.00,6999.00,5748.00,3286.00,Russia,Cement
Import Volume,Thousand tons,2066.00,5862.00,1124.00,1170.00,2398.00,4234.00,4338.00,4501.00,2883.00,Russia,Cement
Import Value,Million USD,206.60,593.10,88.60,91.00,212.50,348.40,347.30,337.90,169.20,Russia,Cement
Export Volume,Thousand tons,1656.00,482.00,1344.00,700.20,386.90,1464.00,1759.00,1868.00,1723.00,Russia,Cement
Export Value,Million USD,169.80,68.10,116.30,57.60,36.40,152.70,185.00,155.30,91.20,Russia,Cement
Import Price,USD per Ton,100.00,101.20,78.90,77.80,88.60,82.30,80.10,75.10,58.70,Russia,Cement
Export Price,USD per Ton,102.50,141.20,86.60,82.20,94.00,104.30,105.20,83.10,52.90,Russia,Cement
Per Capita Consumption,Kg per Person,421.60,411.80,307.80,355.30,406.00,449.50,481.40,499.20,439.70,Russia,Cement
Net Export Volume,Thousand tons,﻿-409.6,﻿-5380,220.00,﻿-469.4,-2011.50,-2770.20,-2578.80,-2633.00,-1159.70,Russia,Cement
Net Export Value,Million USD,﻿-36.8,﻿-525,27.70,﻿-33.4,-176.10,-195.70,-162.30,-182.60,-78.00,Russia,Cement
Consumption Volume,Thousand tons,9485.00,10086.00,9615.00,9415.00,9106.00,9109.00,8810.00,9376.00,9395.00,Australia,Cement
Consumption Value,Million USD,2604.00,3181.00,2947.00,2986.00,3268.00,2954.00,2726.00,3648.00,2713.00,Australia,Cement
Production Volume,Thousand tons,9200.00,9400.00,9200.00,9000.00,8600.00,8500.00,8400.00,9000.00,9100.00,Australia,Cement
Production Value,Million USD,2333.00,3041.00,2836.00,2940.00,3423.00,2879.00,2631.00,4047.00,2530.00,Australia,Cement
Import Volume,Thousand tons,306.60,705.80,431.50,442.40,530.50,629.00,423.80,383.20,303.10,Australia,Cement
Import Value,Million USD,38.20,77.30,46.20,51.60,45.60,51.20,40.30,40.70,31.60,Australia,Cement
Export Volume,Thousand tons,21.90,20.10,16.60,27.30,24.60,20.60,13.70,71.00,8.50,Australia,Cement
Export Value,Million USD,5.60,6.50,5.10,8.90,9.80,7.00,4.30,3.20,2.40,Australia,Cement
Import Price,USD per Ton,124.70,109.60,107.10,116.70,85.90,81.40,95.00,106.30,104.20,Australia,Cement
Export Price,USD per Ton,253.60,323.50,308.30,326.60,398.00,338.80,313.30,449.60,278.00,Australia,Cement
Per Capita Consumption,Kg per Person,452.80,472.60,442.30,425.60,405.10,399.10,380.60,399.40,394.70,Australia,Cement
Net Export Volume,Thousand tons,-284.70,﻿-685.6,﻿-414 9,﻿-415,﻿-505.9,﻿-608.5,﻿-410.1,﻿-376.1,﻿-294.6,Australia,Cement
Net Export Value,Million USD,-32.70,﻿-70.8,﻿-41.1,﻿-42.7,﻿-35.8,﻿-44.2,﻿-36,﻿-37.6,﻿-29.2,Australia,Cement
Consumption Volume,Thousand tons,37076.00,40032.00,47930.00,55599.00,57914.00,55187.00,54111.00,57183.00,64521.00,Vietnam,Cement
Consumption Value,Million USD,3976.00,3958.00,4389.00,4804.00,4816.00,3663.00,4205.00,4356.00,5004.00,Vietnam,Cement
Production Volume,Thousand tons,37102.00,40009.00,47900.00,55801.00,58271.00,56353.00,57516.00,60982.00,67427.00,Vietnam,Cement
Production Value,Million USD,4297.00,4209.00,4596.00,4987.00,4967.00,3603.00,4505.00,4658.00,5269.00,Vietnam,Cement
Import Volume,Thousand tons,63.50,115.40,123.50,92.60,73.60,52.00,31.40,34.40,36.50,Vietnam,Cement
Import Value,Million USD,7.30,12.20,15.60,11.50,9.90,5.60,4.00,6.50,5.20,Vietnam,Cement
Export Volume,Thousand tons,89.40,92.70,94.00,294.50,430.40,1218.00,3437.00,3834.00,2942.00,Vietnam,Cement
Export Value,Million USD,10.40,9.70,9.00,26.30,36.70,77.90,269.20,292.80,229.90,Vietnam,Cement
Import Price,USD per Ton,115.20,105.80,126.60,124.30,135.10,107.90,125.90,188.50,141.90,Vietnam,Cement
Export Price,USD per Ton,115.80,105.20,95.90,89.40,85.20,63.90,78.30,76.40,78.10,Vietnam,Cement
Per Capita Consumption,Kg per Person,431.70,461.70,547.40,628.40,647.50,610.10,591.40,617.90,689.50,Vietnam,Cement
Net Export Volume,Thousand tons,25.90,﻿-22.7,﻿-29.5,201.90,356.80,1166.00,3405.00,3799.00,2906.00,Vietnam,Cement
Net Export Value,Million USD,3.00,﻿-2.5,﻿-6.6,14.80,26.70,72.30,265.20,286.30,224.70,Vietnam,Cement
Consumption Volume,Thousand tons,58919,57460,49529,46756,47096,50175,53572,53284,49441,Japan,Cement
Consumption Value,Million USD,160.5,180.1,184.9,191.6,244.9,250.7,229.6,229.2,214.1,Japan,Cement
Production Volume,Thousand tons,63705,62810,54800,51526,51291,54737,57962,57913,54827,Japan,Cement
Production Value,Million USD,138.6,170,190.9,203.8,276.3,280.4,243.5,244.4,233.5,Japan,Cement
Import Volume,Thousand tons,1154,935.4,827.2,628.9,729.4,846.4,828,609,393.7,Japan,Cement
Import Value,Million USD,61.8,61.5,62.2,56.5,70.1,79.1,68.8,56.1,39.8,Japan,Cement
Export Volume,Thousand tons,5940,6285,6099,5399,4924,5409,5218,5238,5779,Japan,Cement
Export Value,Million USD,174.4,204.7,215.9,175.8,165.7,203.1,203.7,214.8,235.8,Japan,Cement
Import Price,USD per Ton,53.6,65.8,75.2,89.8,96.1,93.4,83,92.2,101.1,Japan,Cement
Export Price,USD per Ton,29.4,32.6,35.4,32.6,33.7,37.5,39,41,40.8,Japan,Cement
Per Capita Consumption,Kg per Person,458.5,447,385.2,363.7,366.5,390.7,417.5,415.8,386.3,Japan,Cement
Net Export Volume,Thousand tons,4786,5350,5271,4770,4195,4562,4390,4629,5386,Japan,Cement
Net Export Value,Million USD,112.6,143.2,153.7,119.3,95.6,124,134.9,158.6,196,Japan,Cement
Consumption Volume,Thousand tons,40989,44356,49369,48709,65043,69023,66773,62749,49749,Iran,Cement
Consumption Value,Million USD,2185,2775,3124,3337,4129,4610,4984,5290,5148,Iran,Cement
Production Volume,Thousand tons,41000,44400,50000,50000,66000,70250,68700,66700,58600,Iran,Cement
Production Value,Million USD,1588,2233,2559,2885,3394,3903,4489,5162,5936,Iran,Cement
Import Volume,Thousand tons,64.2,37.6,9,7.8,9,31.7,41.1,47.9,31.2,Iran,Cement
Import Value,Million USD,5.2,3.7,2,2.7,7,6,13.6,10.8,8.6,Iran,Cement
Export Volume,Thousand tons,75.3,81.4,640.5,1298,965.9,1258,1968,3999,8883,Iran,Cement
Export Value,Million USD,6.9,7.9,49,99.4,60.4,78.7,117.2,297.8,530.6,Iran,Cement
Import Price,USD per Ton,81.5,97.6,225.8,343,773.8,189.3,330.6,225.8,275.3,Iran,Cement
Export Price,USD per Ton,91.9,97.2,76.4,76.5,62.5,62.5,59.6,74.5,59.7,Iran,Cement
Per Capita Consumption,Kg per Person,569,608.9,670,653.2,861.6,902.8,862.3,800.3,626.9,Iran,Cement
Net Export Volume,Thousand tons,11.1,43.8,631.5,1291,956.9,1227,1927,3951,8851,Iran,Cement
Net Export Value,Million USD,1.7,4.2,46.9,96.7,53.4,72.7,103.7,286.9,522,Iran,Cement
